trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
2d3b6868969a03ce8f37a8837c0907a7,08:15:00,08:15:00,S4454,1,,0,0
2d3b6868969a03ce8f37a8837c0907a7,08:25:00,08:25:00,S4455,2,,0,0
b9f1e11f56f919ef3ec88f40d85efed7,10:35:00,10:35:00,S4454,1,,0,0
b9f1e11f56f919ef3ec88f40d85efed7,10:45:00,10:45:00,S4455,2,,0,0
f9eba44f97e638110774b46d8a4b4aaf,12:50:00,12:50:00,S4454,1,,0,0
f9eba44f97e638110774b46d8a4b4aaf,13:00:00,13:00:00,S4455,2,,0,0
c0f37359e5e2f7e060256cd537fb5b10,15:30:00,15:30:00,S4454,1,,0,0
c0f37359e5e2f7e060256cd537fb5b10,15:40:00,15:40:00,S4455,2,,0,0
4a5b921c9417323034d38a807704beaf,17:10:00,17:10:00,S4454,1,,0,0
4a5b921c9417323034d38a807704beaf,17:20:00,17:20:00,S4455,2,,0,0
d94d9ec4cba740e7802811b91957fed0,08:45:00,08:45:00,S4455,1,,0,0
d94d9ec4cba740e7802811b91957fed0,08:55:00,08:55:00,S4454,2,,0,0
f378ad726968574f2ad3fe609d0f174e,10:55:00,10:55:00,S4455,1,,0,0
f378ad726968574f2ad3fe609d0f174e,11:05:00,11:05:00,S4454,2,,0,0
ef3f3d72ab8242ee244b986ad254f2ed,13:20:00,13:20:00,S4455,1,,0,0
ef3f3d72ab8242ee244b986ad254f2ed,13:30:00,13:30:00,S4454,2,,0,0
2ef3ea1ae7c8c6ac47382b15686cc156,15:50:00,15:50:00,S4455,1,,0,0
2ef3ea1ae7c8c6ac47382b15686cc156,16:00:00,16:00:00,S4454,2,,0,0
4b30075117334e04546a22f843201e36,17:50:00,17:50:00,S4455,1,,0,0
4b30075117334e04546a22f843201e36,18:00:00,18:00:00,S4454,2,,0,0
043f24a533706ef51a4772e6780f5ad1,07:50:00,07:50:00,S4454,1,,0,0
043f24a533706ef51a4772e6780f5ad1,08:00:00,08:00:00,S4455,2,,0,0
b5371abcb8c2fb3a42106f0c8214789c,10:35:00,10:35:00,S4454,1,,0,0
b5371abcb8c2fb3a42106f0c8214789c,10:45:00,10:45:00,S4455,2,,0,0
f6205cd5d989f50d456824722380b970,12:50:00,12:50:00,S4454,1,,0,0
f6205cd5d989f50d456824722380b970,13:00:00,13:00:00,S4455,2,,0,0
aa0da852978aca9b0b562bf48a35ba4d,15:30:00,15:30:00,S4454,1,,0,0
aa0da852978aca9b0b562bf48a35ba4d,15:40:00,15:40:00,S4455,2,,0,0
014e5c375f94f6e95b9cbe2121feefb4,17:10:00,17:10:00,S4454,1,,0,0
014e5c375f94f6e95b9cbe2121feefb4,17:20:00,17:20:00,S4455,2,,0,0
3ef9d479378b2e034f0266e7a64f5f41,08:45:00,08:45:00,S4455,1,,0,0
3ef9d479378b2e034f0266e7a64f5f41,08:55:00,08:55:00,S4454,2,,0,0
499739f86d6fdb07a698409b1a0976bd,10:55:00,10:55:00,S4455,1,,0,0
499739f86d6fdb07a698409b1a0976bd,11:05:00,11:05:00,S4454,2,,0,0
d7bd0a8c4b4326f753f3cd8b4db41f57,13:20:00,13:20:00,S4455,1,,0,0
d7bd0a8c4b4326f753f3cd8b4db41f57,13:30:00,13:30:00,S4454,2,,0,0
806946e201576cf848bec7cfa01aa081,15:50:00,15:50:00,S4455,1,,0,0
806946e201576cf848bec7cfa01aa081,16:00:00,16:00:00,S4454,2,,0,0
b35692023ff3cd01eded70ef96908fdf,17:50:00,17:50:00,S4455,1,,0,0
b35692023ff3cd01eded70ef96908fdf,18:00:00,18:00:00,S4454,2,,0,0
