shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
755a30be-1797-4f74-ba78-69fc667510c4,26.6775400,127.9970900,1,0.0000000
755a30be-1797-4f74-ba78-69fc667510c4,26.6774700,127.9976200,2,53.3214070
755a30be-1797-4f74-ba78-69fc667510c4,26.6773900,127.9979200,3,84.4701641
755a30be-1797-4f74-ba78-69fc667510c4,26.6773500,127.9982200,4,114.6582373
755a30be-1797-4f74-ba78-69fc667510c4,26.6773200,127.9985800,5,150.6452533
755a30be-1797-4f74-ba78-69fc667510c4,26.6773200,127.9991500,6,207.3811259
755a30be-1797-4f74-ba78-69fc667510c4,26.6773800,128.0000300,7,295.2252404
755a30be-1797-4f74-ba78-69fc667510c4,26.6775300,128.0006700,8,361.0609067
755a30be-1797-4f74-ba78-69fc667510c4,26.6776600,128.0010600,9,402.4662065
755a30be-1797-4f74-ba78-69fc667510c4,26.6778100,128.0015100,10,450.2415013
755a30be-1797-4f74-ba78-69fc667510c4,26.6788100,128.0039600,11,718.0945874
755a30be-1797-4f74-ba78-69fc667510c4,26.6794900,128.0056700,12,904.2296788
755a30be-1797-4f74-ba78-69fc667510c4,26.6801800,128.0073600,13,1089.0009686
755a30be-1797-4f74-ba78-69fc667510c4,26.6806500,128.0085300,14,1216.5687314
755a30be-1797-4f74-ba78-69fc667510c4,26.6811200,128.0096700,15,1341.4161323
755a30be-1797-4f74-ba78-69fc667510c4,26.6817100,128.0104600,16,1443.6718799
755a30be-1797-4f74-ba78-69fc667510c4,26.6822500,128.0112000,17,1538.5649814
755a30be-1797-4f74-ba78-69fc667510c4,26.6833400,128.0120700,18,1687.1711517
755a30be-1797-4f74-ba78-69fc667510c4,26.6842800,128.0123300,19,1794.4885879
755a30be-1797-4f74-ba78-69fc667510c4,26.6848300,128.0124800,20,1857.2299598
755a30be-1797-4f74-ba78-69fc667510c4,26.6857900,128.0127500,21,1966.9387664
755a30be-1797-4f74-ba78-69fc667510c4,26.6865600,128.0127100,22,2052.3465291
755a30be-1797-4f74-ba78-69fc667510c4,26.6873900,128.0126600,23,2144.4439265
755a30be-1797-4f74-ba78-69fc667510c4,26.6874700,128.0126500,24,2153.3635185
755a30be-1797-4f74-ba78-69fc667510c4,26.6884000,128.0124600,25,2258.1270587
755a30be-1797-4f74-ba78-69fc667510c4,26.6902800,128.0120600,26,2470.1986850
755a30be-1797-4f74-ba78-69fc667510c4,26.6909900,128.0119200,27,2550.0901650
755a30be-1797-4f74-ba78-69fc667510c4,26.6917200,128.0117700,28,2632.3393660
755a30be-1797-4f74-ba78-69fc667510c4,26.6931900,128.0114600,29,2798.1097867
755a30be-1797-4f74-ba78-69fc667510c4,26.6935500,128.0113100,30,2840.6993727
755a30be-1797-4f74-ba78-69fc667510c4,26.6951400,128.0107100,31,3026.7142020
755a30be-1797-4f74-ba78-69fc667510c4,26.6952800,128.0106100,32,3045.1441000
755a30be-1797-4f74-ba78-69fc667510c4,26.7000600,128.0075100,33,3658.0658337
755a30be-1797-4f74-ba78-69fc667510c4,26.7073000,128.0019000,34,4635.3920619
755a30be-1797-4f74-ba78-69fc667510c4,26.7108800,127.9999100,35,5078.7344423
755a30be-1797-4f74-ba78-69fc667510c4,26.7145900,127.9982400,36,5522.1168501
755a30be-1797-4f74-ba78-69fc667510c4,26.7185700,127.9964200,37,5998.8336351
755a30be-1797-4f74-ba78-69fc667510c4,26.7228700,127.9944800,38,6512.8874493
755a30be-1797-4f74-ba78-69fc667510c4,26.7238300,127.9941500,39,6624.2070285
755a30be-1797-4f74-ba78-69fc667510c4,26.7332200,127.9908400,40,7715.4877937
755a30be-1797-4f74-ba78-69fc667510c4,26.7352200,127.9904700,41,7940.1230123
755a30be-1797-4f74-ba78-69fc667510c4,26.7390200,127.9897100,42,8367.8955882
755a30be-1797-4f74-ba78-69fc667510c4,26.7439400,127.9887900,43,8920.6584167
755a30be-1797-4f74-ba78-69fc667510c4,26.7484800,127.9884500,44,9424.8240924
755a30be-1797-4f74-ba78-69fc667510c4,26.7548900,127.9884900,45,10135.0608417
755a30be-1797-4f74-ba78-69fc667510c4,26.7636300,127.9885700,46,11103.4833012
755a30be-1797-4f74-ba78-69fc667510c4,26.7806900,127.9886600,47,12993.7515783
755a30be-1797-4f74-ba78-69fc667510c4,26.8147300,127.9888800,48,16765.4587948
755a30be-1797-4f74-ba78-69fc667510c4,26.8831500,127.9893500,49,24346.6172833
755a30be-1797-4f74-ba78-69fc667510c4,26.8893900,127.9880200,50,25050.5343558
755a30be-1797-4f74-ba78-69fc667510c4,26.8932100,127.9868200,51,25490.2671760
