shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.9131200,125.3073800,1,0.0000000
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.9123200,125.3074400,2,88.8245953
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.9118600,125.3069300,3,161.2872072
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.9100100,125.3055300,4,410.2815834
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.9095400,125.3049500,5,488.6636164
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.9094800,125.3031100,6,674.6663760
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.9062700,125.2950000,7,1567.8131542
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.9054500,125.2942200,8,1688.0635434
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.9049700,125.2939700,9,1746.9277111
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.9045400,125.2939400,10,1794.6557726
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.8965200,125.2959600,11,2706.1824010
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.8948800,125.2969700,12,2914.5461496
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.8900800,125.3017800,13,3634.8898791
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.8891000,125.3022900,14,3755.0554077
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.8880100,125.3023300,15,3875.8636732
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.8798200,125.3004200,16,4803.3806581
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.8790000,125.2972300,17,5138.2782702
4fc50fef-376e-4e95-9e62-da1bceec9ded,24.8780400,125.2969200,18,5249.1366450
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.8780400,125.2969199,1,0.0000000
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.8790000,125.2972300,2,110.8598027
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.8798200,125.3004500,3,448.6762370
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.8881900,125.3023300,4,1395.0915822
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.8899400,125.3019000,5,1593.7505162
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.8946900,125.2971800,6,2303.8777451
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.8963600,125.2961500,7,2516.1285657
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.9045000,125.2938800,8,3446.5170693
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.9053900,125.2941400,9,3548.5429709
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.9061700,125.2949500,10,3667.5459567
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.9094000,125.3028500,11,4542.1764993
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.9095200,125.3051700,12,4776.9286857
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.9118200,125.3068800,13,5084.7474529
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.9121700,125.3074000,14,5150.0365213
5ccf4cd5-1721-4834-b7c7-ee6374576b81,24.9131200,125.3073800,15,5255.2889423
