shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3636300,123.7941300,1,0.0000000
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3635200,123.7938000,2,35.6290613
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3635400,123.7931500,3,101.6177932
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3655400,123.7905800,4,443.7728554
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3672100,123.7891900,5,676.3792290
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3696300,123.7892900,6,944.6190212
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3718200,123.7894900,7,1188.0385515
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3732400,123.7892700,8,1346.8987802
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3741000,123.7887800,9,1454.3476657
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3750200,123.7879000,10,1589.8288071
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3764900,123.7866200,11,1798.0958526
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3783900,123.7855300,12,2035.8317601
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3789800,123.7847000,13,2142.4206118
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3789300,123.7835400,14,2260.2347078
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3798200,123.7819500,15,2449.2798714
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3810700,123.7804300,16,2656.5207096
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3837500,123.7777000,17,3062.5039006
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3850400,123.7767000,18,3237.7401898
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3857800,123.7766100,19,3320.2123575
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3876500,123.7768900,20,3529.2793137
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3880000,123.7771800,21,3577.9453147
