fare_id,route_id,origin_id,destination_id
2475,69,S2672,S2670
2487,70,S2670,S2672
2477,71,S2672,S2667
2478,72,S2667,S2672
2514,73,S2667,S2672
2515,73,S2670,S2672
2516,73,S2667,S2670
2479,74,S2672,S2669
2480,75,S2669,S2672
2481,76,S2672,S2666
2482,77,S2666,S2672
2517,78,S2666,S2672
2518,78,S2670,S2672
2519,78,S2666,S2670
2483,79,S2672,S2671
2484,81,S2671,S2672
2485,82,S2672,S2668
2521,83,S2672,S2668
2522,83,S2666,S2668
2523,83,S2672,S2666
2486,84,S2668,S2672
2520,85,S2668,S2672
2524,85,S2668,S2666
2525,85,S2666,S2672
